request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_143,3931.31,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Pay ZAR 12584 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11300 minimum.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,34564.6,not_affordable,not_recommended,none,2024-04-15,none,Do not proceed with the INR 217400 request. None of the available options keeps the INR 155400 minimum protected.
request_146,30584.75,not_affordable,not_recommended,none,,none,Do not proceed with the INR 449400 request. None of the available options keeps the INR 108600 minimum protected.
request_147,552.84,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,8178.01,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. This leaves at least ZAR 20000 available."
request_149,26736.33,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This leaves at least ZAR 42100 available."
request_150,351.31,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,11721.89,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,none,"Use 3 installments of ZAR 4812.43, starting 12 February 2025. This leaves at least ZAR 11900 available."
request_153,160.77,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2830.8 request. None of the available options keeps the USD 1400 minimum protected.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,12617.35,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Pay ZAR 43076 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26900 minimum.
request_157,5416233.14,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Pay IDR 23503000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15714100 minimum.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This leaves at least INR 131400 available."
request_159,9519.26,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 13398 request. None of the available options keeps the ZAR 8700 minimum protected.
request_160,660.73,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 21204000 request. None of the available options keeps the IDR 23010400 minimum protected.
request_162,4740567.13,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 83923000 request. None of the available options keeps the IDR 24161100 minimum protected.
request_163,11834816.19,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6692053.33, starting 10 September 2024. This leaves at least IDR 26728700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This leaves at least IDR 29550500 available."
request_165,56194.33,not_affordable,not_recommended,none,,none,Do not proceed with the INR 80600 request. None of the available options keeps the INR 95000 minimum protected.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,34815.88,affordable_with_plan,partial_payment,2026-01-07:34815.88|2026-01-15:14564.12,2026-01-15,none,Pay INR 34815.88 today and the remaining INR 14564.12 on 2026-01-15. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,32641917.92,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. This leaves at least IDR 24715800 available."
request_171,122.47,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1878.8 request. None of the available options keeps the EUR 500 minimum protected.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 5 June 2024. This leaves at least ZAR 27200 available."
request_173,63968.89,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39173.33, starting 21 November 2025. This leaves at least INR 79100 available."
request_174,1067.99,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1146.2 request. None of the available options keeps the EUR 700 minimum protected.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,436.05,not_affordable,not_recommended,none,2025-04-15,none,Do not proceed with the EUR 1239.7 request. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This leaves at least EUR 1400 available."
request_179,13319348.11,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Pay IDR 41648000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41430800 minimum.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,444.5,not_affordable,not_recommended,none,,none,Do not proceed with the USD 5059.2 request. None of the available options keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,24405351.95,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This leaves at least IDR 11878300 available."
request_184,15959.45,not_affordable,not_recommended,none,,none,Do not proceed with the INR 251900 request. None of the available options keeps the INR 110800 minimum protected.
request_185,403.72,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,Pay EUR 1257.3 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1300 minimum.
request_186,8811.65,affordable_later,wait,2026-03-15:26554,2026-03-15,none,Pay ZAR 26554 in full on 2026-03-15. Paying earlier would take the balance below the ZAR 22000 minimum.
request_187,46768.13,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Pay INR 187500 in full on 2024-11-15. Paying earlier would take the balance below the INR 128300 minimum.
request_188,164.92,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2464 request. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today. This leaves at least EUR 400 available over the next 90 days.
request_190,745.41,affordable_later,wait,2025-02-15:2557.5,2025-02-15,none,Pay EUR 2557.5 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1600 minimum.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today. This leaves at least EUR 500 available over the next 90 days.
request_192,238.71,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2046 request. None of the available options keeps the USD 1000 minimum protected.
request_193,105.6,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1000 available."
request_194,37601.45,affordable_later,wait,2025-10-15:132800,2025-10-15,none,Pay INR 132800 in full on 2025-10-15. Paying earlier would take the balance below the INR 113600 minimum.
request_195,1044.15,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today. This leaves at least EUR 500 available over the next 90 days.
request_197,24291308.69,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 50939000 request. None of the available options keeps the IDR 26245900 minimum protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This leaves at least INR 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This leaves at least IDR 25359500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This leaves at least IDR 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This leaves at least IDR 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This leaves at least INR 147800 available over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1400 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This leaves at least EUR 1300 available over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This leaves at least IDR 13994300 available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,7248.79,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13600 minimum.
request_208,3687012.48,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Pay IDR 4413000 in full on 2024-06-15. Paying earlier would take the balance below the IDR 10470700 minimum.
request_209,3331.22,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 56914 request. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1279.94,affordable_with_plan,partial_payment,2026-04-06:1279.94|2026-04-15:80.08,2026-04-15,none,Pay USD 1279.94 today and the remaining USD 80.08 on 2026-04-15. This completes the full request and keeps the USD 2000 minimum protected.
request_211,489.12,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,Pay EUR 1788.6 in full on 2024-11-15. Paying earlier would take the balance below the EUR 1500 minimum.
request_212,7419646.63,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 71934000 request. None of the available options keeps the IDR 29579800 minimum protected.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 21 January 2026. This leaves at least USD 2100 available."
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,"Use 2 installments of INR 36270, starting 4 December 2024. This leaves at least INR 174900 available."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This leaves at least ZAR 15700 available."
request_216,742.66,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,Pay USD 3332.4 in full on 2026-09-15. Paying earlier would take the balance below the USD 1800 minimum.
request_217,21085.58,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This leaves at least ZAR 26800 available."
request_218,28164036.23,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This leaves at least IDR 34477200 available."
request_219,866.39,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1100 available."
request_220,129.94,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 3118.5 request. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This leaves at least INR 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This leaves at least ZAR 27300 available over the next 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 4 February 2025. This leaves at least IDR 22187600 available."
request_225,10797503.03,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This leaves at least IDR 17670700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This leaves at least INR 209400 available over the next 90 days.
request_227,15008.58,not_affordable,not_recommended,none,,none,Do not proceed with the INR 259700 request. None of the available options keeps the INR 62900 minimum protected.
request_228,3022505.48,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 63327000 request. None of the available options keeps the IDR 26191200 minimum protected.
request_229,488.98,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 today. This leaves at least EUR 2000 available over the next 90 days.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. This leaves at least ZAR 24300 available."
request_232,822.28,affordable_later,wait,2024-08-15:1970.1,2024-08-15,none,Pay EUR 1970.1 in full on 2024-08-15. Paying earlier would take the balance below the EUR 2400 minimum.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 6241000 request. None of the available options keeps the IDR 10365700 minimum protected.
request_234,339.39,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,Pay EUR 1213.3 in full on 2026-09-15. Paying earlier would take the balance below the EUR 700 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 700 available over the next 90 days.
request_236,7500406,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52383000 request. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500 available over the next 90 days.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,17153.03,not_affordable,not_recommended,none,,none,Do not proceed with the INR 101200 request. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000,not_affordable,not_recommended,none,2024-03-03,none,Do not proceed with the IDR 21052000 request. None of the available options keeps the IDR 19252000 minimum protected.
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1966.8 request. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This leaves at least ZAR 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This leaves at least ZAR 45900 available over the next 90 days.
request_245,33513.8,affordable_later,wait,2026-01-15:128500,2026-01-15,none,Pay INR 128500 in full on 2026-01-15. Paying earlier would take the balance below the INR 94600 minimum.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This leaves at least ZAR 39300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. This leaves at least EUR 1300 available over the next 90 days.
request_248,998.85,affordable_with_plan,partial_payment,2025-02-07:998.85|2025-04-15:966.75,2025-04-15,none,Pay USD 998.85 today and the remaining USD 966.75 on 2025-04-15. This completes the full request and keeps the USD 1300 minimum protected.
request_249,183.2,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Pay USD 643.2 in full on 2026-03-15. Paying earlier would take the balance below the USD 600 minimum.
request_250,18318.1,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 124278 request. None of the available options keeps the ZAR 35300 minimum protected.
request_251,1127.45,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1513.6 request. None of the available options keeps the EUR 1300 minimum protected.
request_252,6920085.74,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Pay IDR 28082000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 15152200 minimum.
request_253,1492.39,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,"Use 3 installments of EUR 984.6, starting 21 March 2024. This leaves at least EUR 2300 available."
request_254,889.33,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,Pay USD 3535.2 in full on 2025-10-15. Paying earlier would take the balance below the USD 2500 minimum.
request_255,129011.38,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 3345000 request. None of the available options keeps the IDR 9813900 minimum protected.
request_256,170316.86,not_affordable,not_recommended,none,2024-06-15,none,Do not proceed with the INR 218700 request. None of the available options keeps the INR 168600 minimum protected.
request_257,546.54,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,Pay USD 1352.4 in full on 2026-01-15. Paying earlier would take the balance below the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. This leaves at least USD 500 available over the next 90 days.
request_259,272.82,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600 minimum.
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_260,7862433.56,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52079000 request. None of the available options keeps the IDR 20727700 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. This leaves at least EUR 1500 available over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This leaves at least IDR 31018500 available over the next 90 days.
request_263,7513.99,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51546 request. None of the available options keeps the ZAR 24100 minimum protected.
request_264,27837.96,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Pay INR 111300 in full on 2026-06-15. Paying earlier would take the balance below the INR 59500 minimum.
